[1, -1, 15, 0, 1, 2, -24, -4]
[2, 1, -4, -5, -4, -1, 6, 1]
[-2, 3, 9, -5, -6, -2, -20, 0]
[1, -2, -5, -19, -13, -5, -12, -2]
[4, 0, 7, 0, -2, -3, -15, -2]
[0, -1, -14, 21, 10, 9, 21, 5]
[-1, -3, -7, -7, -4, -4, -2, -2]
[-5, -2, -13, 13, 4, 5, 44, 6]
[4, -3, 3, -1, 2, 3, 17, 2]
[-14, -7, -2, -9, -9, -8, -25, -11]
[-3, -3, 4, 3, -1, -2, -13, -4]
[1, 0, -5, -6, 0, -3, -23, -4]
[4, 3, 7, 9, 3, 0, 3, 2]
[-1, -3, 17, 4, 1, -1, -16, -6]
[3, 3, -1, 3, 4, 2, 7, 5]
[-6, -1, -1, -4, -2, 3, 29, 6]
[-5, -2, -2, -30, -15, -6, -9, -3]
[3, 1, 0, -8, 0, 3, 22, 5]
[-1, 1, 3, 33, 8, 3, -18, -3]
[10, 0, 2, 17, 9, 6, 20, 2]
[-10, -4, -2, -16, -10, -11, -28, -5]
[-4, -9, 5, 66, 14, 0, 4, 3]
[-3, -1, -3, 90, 36, 7, -5, -2]
[1, -5, 3, 19, 16, 10, 30, 5]
[1, 2, -1, -30, -20, -8, -29, -8]
[-2, -1, -7, 20, 6, -1, -11, -7]
[0, -1, -7, -15, -9, 2, 8, 4]
[3, -3, -13, 6, 8, 2, 7, 8]
[-1, 2, -6, -1, 5, 0, -13, -3]
[2, -3, 1, 13, 4, 8, 87, 10]
[2, 5, 11, -30, -13, -3, 22, 6]
[-1, 4, 16, -5, 0, -5, -20, -7]
[4, 3, -3, -28, -15, -4, -13, 2]
[-2, -3, -3, 0, -1, -1, -24, -6]
[-1, 2, 7, 12, 8, 7, 37, 7]
[1, 0, 1, 28, 9, 1, -18, -2]
[-2, 0, 0, 9, 5, 2, 2, 0]
[5, 4, 4, -7, -3, 0, -1, 1]
[2, -1, -5, 4, 3, -2, 6, 0]
[-2, 1, 4, 12, 8, 2, -2, 1]
[-2, 0, 0, -5, -3, 2, 27, 4]
[0, -2, -9, -27, -9, -5, -30, -6]
[-1, 0, 6, 29, 11, 2, -15, -3]
[-1, 0, 3, -4, 0, -2, -25, -4]
[4, -1, 4, 7, -3, -7, -35, -6]
[2, 1, 2, -12, 1, -2, -18, -4]
[-2, -2, 2, 22, 5, -1, -10, -4]
[-2, 0, -8, -8, -2, 0, 4, -1]
[-5, -4, -9, -16, 3, -4, -24, -4]
[-5, -2, -1, -14, -9, -5, -8, -4]
[5, 3, 5, 6, -1, -3, 12, 2]
[-2, -2, -7, 12, 7, 2, -3, 0]
[0, -3, -13, -16, -4, -2, -29, -6]
[-3, 0, 3, 0, -6, -4, -6, -7]
[-3, 1, 14, 4, -1, -1, 3, 1]
[-8, -5, -3, -1, 0, -2, -18, -2]
[-1, -1, 1, -9, -4, -2, 2, 0]
[-2, 1, 0, 28, 6, 2, 6, 0]
[2, -2, -9, -12, -8, -3, -14, -2]
[0, 3, 6, -5, -1, -3, -21, -3]
[1, -2, 4, 58, 28, 9, 16, 1]
[1, 0, -2, -14, -6, -3, -5, 0]
[1, 0, -1, -31, -19, -1, 19, 4]
[-2, -2, -5, 2, -9, -1, -15, -1]
[1, 0, -4, -22, -27, -9, 11, 2]
[0, -1, -8, -64, -17, -8, -12, -2]
[-1, 6, 2, 0, -4, 2, -2, -6]
