[-34, 59, 1, 1, -1, 5, -55, 63]
[-18, 35, -4, 0, -7, 0, -1, 67]
[-16, 73, -2, 0, 5, 4, 8, 67]
[-11, -13, -1, 0, -5, 0, -54, 68]
[-4, -35, -19, 8, -5, -3, 3, 71]
[10, 23, 8, 65, -1, -2, 49, 72]
[10, -23, -21, 10, 1, 3, -18, 75]
[16, 2, -49, -17, -2, -2, 44, 77]
[11, -42, 18, 2, 3, 3, 6, 79]
[-5, 60, -13, -26, -3, 4, 47, 85]
[-1, 40, -4, -13, 1, 9, 46, 84]
[-3, -55, -60, -41, -3, 2, 10, 86]
[7, -57, -18, -25, -4, 0, 41, 90]
[-17, 22, 2, -5, -1, -4, -53, 92]
[8, 57, 124, 19, 1, 2, 26, 94]
[-6, -61, -37, -9, -3, 1, 66, 97]
[2, 21, 9, 8, 2, 0, 30, 99]
[0, -21, 2, 2, 1, 0, 18, 102]
[10, 46, 92, 11, 0, -1, -6, 103]
[1, 68, 22, 1, -4, -4, -10, 104]
[4, -9, 51, 10, -1, -3, 12, 106]
[4, 13, 29, -1, -3, 2, -6, 107]
[3, -15, -40, -10, 2, 0, 17, 109]
[-4, -43, 104, -1, -3, -2, 28, 110]
[0, -7, 5, 12, 3, 0, 26, 111]
[6, 18, -15, -5, -3, -5, -52, 112]
[79, 40, -107, -76, -124, -128, 64, 9]
[53, -95, -105, -58, -2, -22, 70, 67]
[94, -128, -22, -13, 27, 25, 123, 94]
[8, -47, -26, -5, 8, 15, 3, 90]
[-54, 52, 10, 1, 0, 16, -66, 71]
[-32, 33, 2, -3, -10, 0, -68, 21]
[36, 26, -13, -1, 1, 6, -2, -7]
[13, 20, -9, -1, -6, -2, 1, -25]
[-1, 14, -1, 0, -1, -4, 69, -37]
[0, -85, -4, -1, 1, -8, 23, -41]
[29, -35, 1, -1, 2, -6, 16, -43]
[30, -16, 5, -1, 5, 0, 21, -45]
[10, -20, 27, -1, -2, -7, 44, -45]
[-1, -17, -57, -57, 0, -3, 11, -45]
[-13, -41, 73, -32, 4, 1, 28, -46]
[-11, 21, 40, 18, -6, -9, -28, -47]
[-11, 31, -45, 23, -2, 1, 44, -51]
[3, 46, 19, 7, 2, 0, -32, -53]
[-4, 29, 52, 23, -4, -2, -27, -56]
[-4, -55, -19, 8, 4, -1, 15, -58]
[-5, -3, -23, -1, -2, 3, 25, -61]
[-4, 31, 5, 0, 1, 3, 8, -63]
[7, -80, 0, -5, -2, -11, -27, -66]
[-1, 68, -17, -14, -5, -1, 10, -68]
[-10, 4, -15, -5, -6, -2, 10, -71]
[10, 45, 92, 20, 5, 6, 10, -72]
[-7, -59, -24, 4, -5, -1, -19, -73]
[-3, -72, -46, -1, -3, -2, 32, -74]
[7, 42, -28, 9, -3, 0, -63, -77]
[-10, 34, -72, -13, -2, -1, 30, -78]
[0, 57, 101, -11, 1, 2, 16, -79]
[-2, -32, 46, -4, -1, 1, -4, -82]
[-3, 18, -35, -9, -3, -2, 39, -83]
[-16, -40, 28, 2, -9, -7, -29, -84]
[5, 11, 26, 2, 9, 6, -44, -85]
[6, 27, -77, -5, 3, 3, -33, -86]
[11, 45, 79, 8, 5, -5, -10, -87]
[109, 106, -113, -83, -66, -105, 127, 99]
[-81, 68, 72, 52, 15, 52, -80, -42]
[-48, 109, 52, 2, -20, -25, -78, -83]
[84, -25, 17, 1, -4, -13, 73, -51]
[57, -46, -14, -2, 3, -11, 63, -24]
[57, -84, 50, 3, 1, 12, 127, -12]
[-12, -101, 21, 1, -3, -4, -36, 32]
[-35, 53, -7, 0, -6, -3, -70, 55]
[-36, 8, 0, 0, -1, 3, -76, 65]
[-26, -2, 6, 0, 2, 3, 8, 69]
[-18, 49, -5, -1, 3, 3, -50, 72]
[-2, 47, -4, -1, 1, -2, -25, 72]
[-3, -30, -1, 0, 1, 3, -7, 73]
[-5, -102, -23, 0, 1, 9, 20, 73]
[15, -58, 24, 71, -5, -2, 86, 75]
[-5, -10, -66, -25, -16, -11, -56, 79]
[11, 73, 104, 6, 7, 2, 68, 82]
[11, 27, 60, 0, -1, 0, 0, 87]
[53, 127, -108, -74, -40, -118, 9, 74]
[63, -128, -128, -80, 9, 20, 55, 73]
[2, -79, -72, 6, 16, 23, 26, -3]
[19, -88, 66, -19, 7, -15, 49, 24]
[60, -3, 44, -9, 6, -7, 50, 12]
[15, -43, -49, -2, -9, -9, 6, 3]
[-2, -30, -128, -1, -1, -5, 1, 0]
[5, 1, -59, -4, 6, -4, 7, 5]
[-4, -43, 50, -60, -2, -5, -20, 3]
[-6, 11, -57, -59, 1, -4, -5, 1]
[1, 38, 21, 12, 6, 4, -17, 0]
[-8, 23, 62, 16, 2, 2, 25, -1]
[-1, -14, 3, 5, -4, -6, -48, 0]
[-3, 57, 50, 23, 2, -1, 16, 1]
[0, -13, 88, 9, -5, -1, -26, 0]
[-2, -39, -46, 0, 9, -1, -24, 56]
[-6, -3, 44, 4, -2, 0, 4, 25]
[-3, -54, -82, -12, -8, -2, -4, 3]
[4, 75, 36, 15, 4, 4, 24, -2]
[6, 58, 15, 18, 0, 5, 6, -5]
[1, -7, -60, -10, 6, 2, -34, 2]
[3, -83, 6, 9, 9, 3, -8, 8]
[-9, -2, -76, -19, -8, -3, -7, 8]
[3, 5, 7, 3, -2, -2, 5, -4]
[-3, -8, -32, -1, -8, -9, -29, 23]
[5, -17, -36, -16, 7, 7, 1, -32]
[-5, -30, -17, 12, 6, -2, -26, 19]
[7, -21, -2, 11, 4, 1, 13, 0]
[-8, 29, 45, 3, -16, -16, 5, -24]
[6, 9, 44, -1, -8, 0, 0, 2]
[-2, -54, 27, 4, 6, -2, -3, 4]
[-10, -65, -93, -25, 13, 0, 16, -3]
[7, -51, 48, 7, 2, 6, 7, 2]
[-5, -5, -6, -4, -13, -2, 26, -8]
[-1, 18, 29, -3, 19, 5, -26, 3]
[17, 28, 62, 5, -2, 2, 10, 18]
[-8, -63, 26, 6, -6, -6, -67, -17]
[-6, 23, 33, 1, 4, 5, 1, -12]
[-5, 9, 38, 19, 4, 0, 6, 18]
[9, 61, 55, 6, 4, -3, -3, -7]
[2, 0, 22, 14, 4, 9, 1, -5]
[5, -15, 39, 4, -8, -2, -7, 10]
[-4, -52, -66, -22, -12, -9, 42, 11]
[3, 18, 39, -14, 10, 3, 2, -10]
[5, -30, -68, -16, -2, 8, 58, -24]
[0, 12, -23, 27, -4, -5, -6, 34]
[-12, 15, 6, -15, -6, -5, -27, -16]
[-3, -63, -59, -18, -9, 3, 6, -6]
[1, 18, 3, 16, 5, 1, 0, 6]
[-11, -41, 71, -5, -7, -4, 10, 4]
[-5, -10, 105, 14, -9, -4, 3, -9]
[-3, -27, 32, 4, -9, -2, -11, -3]
[-2, 11, -54, -18, -2, -4, -64, -2]
[-9, -43, 70, -1, 0, -6, -54, -10]
[-4, -17, -26, -23, -4, 1, 36, 22]
[-1, 21, -22, -10, 1, 3, 22, -1]
[4, -10, 25, 3, 4, 0, 7, -7]
[-7, 26, -22, 8, -2, 0, -53, -23]
[-6, 23, 7, -5, -2, 2, 12, -19]
[6, 19, -28, 6, -6, 4, 5, 7]
[1, 12, -17, 8, -1, 2, 24, -3]
