[6, 5, -32, 11, 5, 4, 10, 1]
[-1, 5, 2, -4, -8, 0, 3, 0]
[-4, -2, -29, 2, -1, 4, -2, -3]
[-11, -5, 3, -60, -26, -20, -25, -5]
[-9, -3, -15, 17, 4, -1, -6, -4]
[7, -4, -2, 11, 1, 3, 9, 4]
[7, -6, -10, -15, -3, 8, 12, 2]
[-1, 2, -8, -13, -17, -16, -2, 1]
[2, -6, -36, 8, 1, 1, 0, -1]
[7, -2, 32, -48, -1, 3, 4, 0]
[-12, -4, 46, 18, -3, -7, -11, -2]
[-3, -2, 11, -2, -9, -4, -4, -1]
[-5, 2, -26, -23, -6, -4, -2, -1]
[-6, -4, -18, 11, -3, -4, -6, 1]
[-1, 8, 29, 0, -5, -4, -5, -2]
[-1, 2, 9, 16, -3, -5, 0, -1]
[6, 4, 17, 11, 1, 3, 3, 0]
[-5, -4, -21, 3, -5, -3, -6, 2]
[4, 10, 2, 5, -1, 1, 6, -2]
[-1, -7, -7, 9, 5, 5, 1, 1]
[1, -4, 1, 8, -4, 2, 3, 3]
[2, 7, 2, -13, 1, 5, 8, -1]
[1, -10, 19, 20, 6, 4, -1, -2]
[-4, -5, 1, -1, -3, -5, -7, -5]
[-12, -4, -1, 4, -15, -6, 1, 6]
[-6, -5, 7, -48, 10, 2, -8, -2]
[117, 9, -38, -55, -64, -10, 45, 27]
[59, 11, 60, 29, 51, 30, 62, 30]
[-35, -7, 32, -50, 40, 0, -28, -24]
[5, -1, 34, 39, -3, -5, -23, -5]
[-44, -8, -32, -12, -15, -16, -37, -13]
[-50, -21, 1, 127, -26, -4, -29, -18]
[-61, 13, -57, -30, -28, -20, -16, -8]
[3, -3, 14, 33, 10, -1, -4, -3]
[2, -6, 6, -67, 4, -15, -22, 0]
[-11, 5, -35, -128, -8, -24, -28, -7]
[-4, -12, -26, 5, 4, -1, -11, 1]
[-8, 6, 7, -15, 8, 2, -2, -3]
[-2, 1, 1, 18, -8, -1, 7, 0]
[13, -8, 6, 9, 7, 8, 4, -3]
[5, -13, 10, 6, -1, 5, 6, 2]
[6, -3, 0, -20, -14, -7, 3, 4]
[-8, -2, -11, 9, -18, -14, -7, -5]
[-1, -2, 22, -17, -10, 0, -6, 0]
[0, -3, -5, 13, 5, 5, 9, 0]
[-6, -2, -15, -66, -14, 0, 2, 0]
[2, 0, -29, -43, -2, 5, 6, -3]
[-1, -6, -29, -10, 0, 2, 2, 0]
[3, -3, -10, -23, -1, 2, 2, -1]
[2, -2, 4, -10, -11, 7, 9, 2]
[3, 0, -18, -6, 3, 0, 2, 1]
[-3, 2, -29, 11, 8, 4, 2, -3]
[-2, -4, 1, 13, -3, -4, -4, -1]
[-8, 3, 0, 28, -4, -10, -4, 1]
[6, 5, 14, 2, 6, 8, 6, -1]
[-4, -1, -22, -17, 2, -7, -8, -4]
[-6, -4, 2, 38, -9, -2, -6, 1]
[-4, -6, 0, 9, -6, -8, -6, -2]
[2, 0, 5, 9, -1, 1, 1, 4]
[-2, -8, 1, 28, -4, -5, -5, -5]
[3, 1, 29, 10, 4, 3, 3, -3]
[5, 5, 4, -5, 4, 3, 8, 1]
[-5, -10, -8, -4, -7, -7, -6, -4]
[2, 3, 34, -7, 0, 4, 3, 1]
[1, -2, -7, -6, 0, 3, 4, 1]
[0, 0, -20, -15, -11, -1, 0, -4]
[-2, -5, -4, -13, -10, -5, -4, 0]
[-3, -8, -4, -13, -11, -3, -5, -1]
[-11, -7, -4, 9, 2, -4, -11, -7]
[-4, -11, -21, -23, -12, -9, -3, -1]
[-6, -7, -10, -11, -10, -4, -3, 1]
[7, 4, 6, -5, 4, 4, 7, 4]
[2, 5, 12, 22, 1, 11, 13, 2]
[-2, -8, 7, -16, -6, -6, -6, -2]
[-23, -11, -34, 32, -2, -13, -20, -9]
[23, 4, -41, -11, -35, -22, 1, 16]
[43, 21, 46, -9, 26, 15, 26, 2]
[-31, -6, 23, 82, 23, 11, -3, -18]
[79, 8, 39, 22, 10, -2, -3, 12]
[19, -14, -4, 31, -5, -36, -24, 8]
[-16, -2, -3, 49, 11, 0, -7, -2]
[-43, -20, -39, -11, -21, -20, -32, -20]
[47, -6, 22, -6, 4, 8, 5, 9]
[4, -2, -28, -12, -16, -10, -1, 4]
[-10, 3, -11, -38, -33, -12, 1, 1]
[3, -6, -2, -6, -2, 0, 5, -2]
[-8, 4, 1, -5, -5, -1, 5, 1]
[-6, 1, 4, -4, 2, 6, 4, -1]
[-3, -5, -8, -15, -10, -7, -4, 0]
[-6, 11, 23, 8, 5, 0, -7, -1]
[0, 5, 15, 6, 3, 3, 6, 0]
[-4, -3, -6, -16, -4, 5, 3, -1]
[-1, -7, 9, -16, 1, 0, -4, -1]
[-6, 1, -6, 10, -5, -1, -1, -4]
[-4, -7, -1, 22, -2, 2, 2, -1]
[6, -2, -13, -25, -3, 4, 10, 1]
[1, -6, 3, -14, -4, 3, 0, -1]
[-4, 0, -54, 4, -5, -10, -8, -2]
[-14, -5, -21, -1, 3, 1, -2, -2]
[-6, -9, -33, -18, -5, -1, -7, -4]
[-6, -10, 6, -6, -12, -5, -6, -3]
[8, 3, 8, 11, 5, 5, 10, 3]
[-3, -7, 8, 0, -13, -3, -3, 0]
[-11, 0, 18, -4, -16, -23, -28, -6]
[8, 6, 4, 3, 3, 5, 6, 3]
[-8, -4, -29, -12, -8, -10, -12, -5]
[-7, -8, -7, 30, -15, -13, -12, -3]
[8, 2, 1, -1, 16, 14, 17, 5]
[-4, -6, -7, -37, -13, -10, -9, -3]
[6, 1, 3, 10, 13, 11, 10, -2]
[-8, -6, -9, -14, -11, -12, -15, -1]
[-9, -9, -16, 17, -12, -18, -19, -7]
[3, -3, 24, 57, 5, 9, 8, 0]
[-15, -11, -27, -32, -21, -22, -22, -6]
[0, 4, -28, 13, -11, -7, -4, 1]
[3, 12, 23, 30, 29, 22, 23, 2]
[39, 7, 0, 2, 2, 13, 18, 5]
[-21, -11, -14, 28, -8, -21, -38, -13]
[62, -9, -12, -32, -19, -11, 3, 4]
[-23, -14, -41, 9, -41, -32, -12, -2]
[-5, -7, 73, 127, 22, 32, 8, 4]
[-58, 2, -8, -91, -8, -4, -26, -12]
[-58, 8, -31, -86, -38, -27, 12, 5]
[-23, -2, -10, 13, -2, -5, -9, -7]
[-6, -2, -11, -18, 30, 21, 2, -1]
[72, -1, 34, 63, 38, 33, 33, 15]
[-22, -8, 18, 48, -9, 27, 19, -2]
[9, 4, -15, -43, -4, -12, -25, -11]
[27, -11, 6, 13, 6, 13, 16, 1]
[2, 3, -14, -4, -14, -15, -11, -4]
[-11, 4, -21, -7, -27, -17, -19, -5]
[-2, -3, -11, -2, -6, -7, 2, 3]
[-4, -8, 1, 6, 4, 9, -1, -1]
[6, -4, -6, -14, -16, -7, 9, -4]
[0, -5, 4, 7, -5, -17, -16, 3]
[-17, 1, -56, -3, -12, 2, 12, 3]
[6, -2, 22, 2, 9, 14, 7, 2]
[9, -4, -16, -16, -8, -2, 2, 5]
[-4, -3, 24, -15, -7, -3, -11, -2]
[-5, 5, -18, 1, 2, -7, -8, -4]
[5, 0, -8, 13, 1, 0, 2, 0]
[-12, -4, 36, 33, -18, -31, -31, -6]
[-2, -1, 2, -23, -5, 3, 5, 5]
[-2, -2, -2, 3, -4, 0, 1, 0]
[1, 0, -9, -22, -6, -2, 2, -1]
[-7, -6, -23, -9, 1, -4, -9, -3]
[0, -2, 10, -9, -8, -3, -3, 0]
[-2, -7, 23, -10, 1, 1, 0, 2]
[-7, -8, -3, 9, 3, 0, -4, -1]
[1, -4, -5, -10, 7, 1, 1, 1]
[0, 4, -10, 0, 6, 2, 1, 1]
[-4, -3, -18, -15, -4, 0, -6, -1]
[1, 3, -14, -1, -8, -2, 3, 0]
[-3, -1, 32, 3, -5, -2, -1, -1]
[-3, -4, 14, 8, -5, -7, -9, 0]
[-1, -1, -10, 15, -5, -3, 3, -1]
[-6, -2, -4, -17, -10, -7, -9, 0]
[3, 2, -3, -1, 0, -2, -1, 0]
[-1, -1, -19, 7, -13, -7, -5, 5]
[0, 4, -9, -6, 1, 1, -1, 0]
[0, -2, 12, 9, 4, 4, -1, 0]
[-2, -4, -4, -24, -3, -4, -6, -6]
[-4, -8, 8, -26, -11, -3, -1, -3]
[10, 5, -33, -11, -3, 1, 6, 0]
[10, -1, -9, -3, 3, 10, 9, 5]
[7, -3, 17, 0, -5, -3, -1, 1]
[-56, -15, -29, -16, -2, -12, -10, -9]
[27, 3, 10, 23, -7, -1, 7, 7]
[15, -8, 27, 30, -17, 18, 31, 9]
[2, -8, -44, -45, -54, -46, -3, 4]
[-15, 13, 6, -64, 30, 18, -12, -6]
[-84, -18, 16, 44, 42, 11, -45, -26]
[-50, 10, 31, 81, 47, 35, 28, -9]
[-62, 3, 42, 31, 16, -5, -23, -22]
[-10, -13, 28, 7, -9, -5, -12, -6]
[49, 12, 24, 30, 34, 18, 11, 15]
[20, 0, -4, -8, -22, -22, -25, -13]
[65, -4, 22, 6, 26, 15, 21, 10]
[-14, -1, -38, -37, -34, -14, 2, -3]
[13, -3, 8, 15, 7, 2, -6, 0]
[28, 3, -1, 6, -1, 4, 14, 5]
[-5, -5, 8, 11, -6, -3, -9, -4]
[-9, -10, 16, 8, 3, 6, 1, 0]
[-8, -1, 3, -4, 4, 8, 5, 0]
[4, 6, 12, -1, -1, -8, -6, 0]
[0, 8, -11, 13, 2, 11, 11, 2]
[-3, 3, -44, -22, 2, 3, 0, -2]
[-2, 0, -22, 0, -7, 0, 0, 1]
[-1, -5, 1, 5, -6, 1, -2, 0]
[-3, 3, 5, -4, 2, -3, -5, 0]
[-4, -1, 9, 7, -2, -2, -2, -1]
[-2, 1, 3, 1, 4, -1, -2, 3]
