[0, 69, 6, -2, -3, -1, 0, -21]
[-2, -20, 6, -2, 2, 1, -3, -23]
[-2, -10, -7, 0, -7, 0, 0, -23]
[-1, -34, -1, -2, -1, -1, -1, -22]
[-1, -46, 3, 0, -4, 0, -3, -24]
[2, -7, 2, -2, -3, -2, 0, -23]
[-1, -11, -3, 1, 0, -1, 2, -23]
[-2, 81, -10, -1, -3, -1, 0, -22]
[-2, 57, -4, 0, -3, 1, 1, -23]
[-1, -63, 6, -2, -2, -3, -2, -24]
[-3, 2, 4, 0, 0, 0, 0, -25]
[0, 43, 5, -1, 2, 0, 0, -23]
[-1, 9, 6, 0, -6, -1, -1, -22]
[1, 32, -1, -1, 1, -3, -2, -23]
[-2, -20, 4, 0, 1, 0, -1, -24]
[-1, 105, -3, 1, -1, 1, 1, -22]
[-1, -52, -3, -3, 1, -2, 0, -24]
[0, 64, 22, -1, 1, -3, -1, -21]
[-2, -34, 4, -1, 0, -2, 0, -22]
[3, -110, -1, -2, 1, 2, -1, -23]
[-1, 97, -11, 0, -2, 1, -1, -23]
[1, -3, -20, -1, 0, -1, 0, -22]
[-1, 62, -8, -2, 1, -2, -1, -23]
[0, 80, 1, -1, -2, 0, -1, -22]
[1, 43, -4, 1, -1, 2, 1, -23]
[-2, 39, -2, 0, -2, -1, 0, -24]
[0, -64, -3, 0, -1, 0, 0, -24]
[-3, 8, -9, -1, -2, -2, -1, -22]
[-2, 7, 1, 1, -2, 0, 0, -26]
[1, -11, 5, 1, 2, -1, -3, -22]
[0, -60, 4, -2, -1, -2, -2, -23]
[1, 21, 3, -2, 1, -1, -2, -21]
[0, -24, 9, -1, 0, -1, -1, -23]
[-2, -62, -8, -2, -3, 0, -1, -24]
[-1, 68, -5, -1, -1, 1, 0, -22]
[0, 28, 7, 0, -2, -2, 1, -24]
[1, 9, -3, 0, -1, 0, 2, -23]
[-2, 35, -10, -1, 3, -1, -2, -23]
[0, -38, 12, -1, 1, -3, -3, -22]
[-3, 85, -1, -1, 0, -1, -1, -22]
[-2, 35, -2, 1, -1, 1, 0, -23]
[-2, 107, -10, 2, -2, 1, 1, -24]
[0, -90, 0, -2, -3, 0, 1, -23]
[1, -8, 0, -2, -2, -1, -1, -23]
[-4, 62, -3, -1, -2, -1, 0, -23]
[3, -75, 6, -2, 2, -3, -3, -23]
[2, -34, 7, 0, 0, 0, 0, -22]
[-2, -14, 5, -2, -2, -2, -1, -23]
[1, -20, -12, -2, -2, -1, -1, -22]
[-1, -9, -1, -1, 2, 0, -2, -22]
[1, 36, 4, 0, -4, -1, -2, -23]
[-1, 12, -7, 0, -2, 0, 0, -25]
[-1, 23, 8, -2, -3, -1, -1, -21]
[-2, 7, 2, 1, 2, 1, -1, -24]
[0, -10, 4, 0, -1, 0, 0, -23]
[1, -19, -10, -2, -5, -2, 2, -24]
[0, -71, 14, -1, 1, 0, -1, -23]
[-2, -19, -3, 1, -1, 2, 1, -23]
[1, -53, 2, -2, 1, -1, 0, -22]
[-2, 40, 1, -1, 0, 0, -1, -22]
[-2, -3, 6, 0, -2, -2, -3, -23]
[0, -70, 8, -2, 2, -2, 0, -24]
[0, -39, 2, 0, -1, -2, -4, -22]
[1, 4, 1, 1, 0, 1, 1, -22]
[-3, -48, 1, -1, -1, -1, -1, -23]
[-2, -62, 0, -4, -3, 0, 0, -24]
[-2, 69, -3, 1, 1, 1, -1, -23]
[-2, 47, -3, 1, -1, -2, 0, -22]
[2, -71, 8, -1, 0, -1, -3, -23]
[0, 44, -1, 1, 1, -1, -1, -23]
[0, -102, -2, -4, -2, 1, -2, -24]
[2, -27, 3, -1, -1, -2, 0, -24]
[-2, 11, -12, 0, -1, 0, 0, -24]
[2, -90, 8, -2, 0, 0, -1, -23]
[0, 62, -2, 2, 1, -2, 1, -22]
[-2, 37, 0, 0, 1, -1, 0, -22]
[2, -27, -6, -1, -1, -1, 1, -23]
[0, 7, -6, 0, -1, -1, -2, -23]
[-1, 27, -11, 3, -3, 0, 0, -24]
[-2, 31, -3, 2, -1, 0, 2, -22]
[1, -93, -12, -1, -1, 0, 0, -23]
[-1, -47, 3, -2, 0, -1, -2, -22]
[0, -46, -1, -1, -2, -2, -1, -24]
[-3, 54, -3, 0, -3, -2, -2, -22]
[-2, 50, 8, -2, 0, -1, -3, -23]
[-2, 53, 4, -3, -3, -1, 0, -24]
[2, -49, 3, -2, 0, 0, -2, -22]
[0, 1, 1, 0, -4, 0, 1, -24]
[-1, 27, 3, 1, 1, 0, 3, -23]
[1, -57, 1, -1, -2, 0, -2, -23]
[2, -89, 3, -2, 1, 0, 0, -23]
[-1, -3, -4, -1, -3, 0, 0, -24]
[-1, -21, 0, 0, -1, 0, -1, -22]
[0, -11, 14, -3, 1, -2, 1, -23]
[-1, 21, -10, 1, 0, 0, 1, -21]
[-1, 35, -3, 1, 3, 2, 1, -24]
[2, -61, -1, -3, 0, -3, -1, -23]
[0, -31, 4, 1, 0, -1, 0, -24]
[-1, 34, -6, -3, -1, 1, 0, -22]
[0, 21, 5, -2, 1, 1, -2, -23]
[-2, 41, 3, 0, -1, 0, -1, -23]
[3, -13, 1, -1, 2, 0, -2, -22]
[0, -40, -3, 2, -1, 1, 0, -24]
[-1, 44, 9, 2, 0, -2, -1, -23]
[1, -17, 2, -1, 0, -1, -2, -24]
[-2, 85, -7, -1, -4, -1, 1, -23]
[0, -19, 0, -1, 2, -1, 1, -21]
[-3, 27, 0, -1, -2, -1, -1, -23]
[0, 31, -6, 0, 2, 0, -1, -22]
[-3, 63, 10, 1, -2, -2, 0, -24]
[-1, -30, -6, -3, 1, 0, -1, -23]
[1, -35, 1, -2, -1, -1, -3, -22]
[0, -92, 10, -2, -3, -2, -1, -25]
[-2, 61, -7, 0, -3, 0, 1, -23]
[2, -43, 0, -1, 1, -1, -1, -22]
[-1, -37, 8, -2, 0, 1, 0, -25]
[-3, 81, -9, 3, -2, 1, -1, -22]
[2, -21, -2, -1, 2, -2, -2, -22]
[-3, 20, -2, -1, -3, -1, -1, -25]
[-1, -2, 1, 0, 0, -1, -2, -23]
[0, 30, 4, -1, 0, -2, -3, -22]
[-2, 6, 0, -1, -3, -1, 0, -23]
[1, -38, 6, -3, 2, -2, -2, -21]
[-2, 26, -3, -2, -1, -1, 0, -22]
[1, -28, -12, -2, -2, -3, 0, -23]
[-1, -52, 8, -2, -1, -1, -2, -24]
[2, 1, 2, -1, -1, 0, -1, -22]
[-2, 84, -7, 1, 0, 0, 0, -23]
[0, -46, -19, -3, -1, -2, -1, -24]
[4, -89, 8, -1, 0, -1, 0, -23]
[-2, 47, 0, 1, -2, -1, -1, -23]
[-2, -2, 3, 1, -1, 0, -1, -24]
[-2, -54, -16, -3, -3, -2, 1, -24]
[-3, -46, -4, -2, 1, -1, -3, -23]
[-2, -54, 3, -4, 0, -2, -4, -23]
[0, 1, 2, 2, -1, 0, 0, -24]
[-2, 37, 1, 0, -1, -1, 0, -21]
[-1, -15, 10, -1, -2, 2, 1, -23]
[-1, 46, 1, 1, 2, -1, -1, -23]
[2, -62, 5, -2, 0, -1, -1, -22]
[-1, 60, 5, 2, 1, 0, 1, -23]
[0, 31, -6, -1, -2, 0, -2, -22]
[0, -50, -26, -2, 0, -2, -1, -22]
[-1, -1, 5, 1, -1, 0, -1, -24]
[-1, 23, -2, 1, -2, -1, -2, -24]
[-2, 54, 8, 1, 0, 1, 1, -24]
[1, 42, -1, -3, -1, -2, 1, -22]
[0, -25, 2, 1, 3, 0, -1, -23]
[1, -45, 6, -2, 0, -2, 0, -23]
[-2, 10, -1, -2, -2, -2, -1, -22]
[-2, 88, -9, 3, -3, 0, -1, -23]
[0, 9, 3, -1, -1, -1, -1, -23]
[-1, 14, -20, -2, -3, 0, -1, -23]
[-1, -49, 4, -2, -1, -1, -1, -23]
[1, -61, 1, -1, 0, 0, 0, -23]
[-2, 45, -1, 7, 3, 1, 1, -24]
[-1, -32, 2, -3, -4, -2, 0, -24]
[-2, 18, 3, -2, -4, -1, 0, -24]
[1, 18, 16, -1, -2, -2, 1, -23]
[0, 2, 4, -1, -3, -1, -1, -23]
[1, -90, 6, -4, 1, -2, -4, -24]
[-5, 91, -7, 1, -4, -1, -1, -22]
[0, -30, -7, 0, 1, 0, -1, -22]
[-2, 17, -6, 0, -2, -1, 1, -23]
[-1, 37, -10, -1, -2, 0, 0, -22]
