[-1, -1, -32, 44, -12, -7, -2, 1]
[4, 0, 18, 46, 13, 10, 6, 2]
[-7, -3, 28, -48, 29, -1, -4, -4]
[-1, -2, 15, -2, -14, -5, -2, -2]
[5, -8, -31, -62, -16, -3, 3, 1]
[4, -7, -1, 98, 2, 5, 6, 6]
[-14, -11, -14, 80, -8, 2, -3, -3]
[23, -33, -68, 88, -27, -19, -12, 1]
[25, 24, 62, 86, 15, 12, 6, 10]
[30, 19, 55, 12, 0, -3, -5, 0]
[9, -6, -8, 115, 11, 13, 12, 10]
[-13, -10, 25, -11, -3, 3, -7, -11]
[16, 36, 66, 0, -3, 16, 16, 25]
[8, 0, -86, -27, -2, 19, 5, 16]
[9, 9, 49, 29, -3, -3, 4, 2]
[10, -1, 6, 67, -2, -8, -7, -4]
[1, -15, -24, -47, -36, -20, -11, -34]
[-37, -2, 29, -26, 10, 5, 5, 2]
[-51, -40, -57, -66, -24, -14, -8, -21]
[2, 15, -4, 26, 1, 3, 5, 16]
[11, 3, 16, 76, 15, 22, 17, 10]
[-15, -8, 21, 107, 0, -1, 1, 0]
[7, 3, 16, -90, 20, -2, -3, -1]
[-20, -18, -19, -9, -43, -17, -10, -10]
[-1, 6, 38, 7, 7, 3, -1, -4]
[6, 3, 6, -73, 0, -5, -7, -13]
[-113, -1, -1, 13, 8, 5, -1, -3]
[-5, 3, 53, -38, 10, -2, -1, 6]
[-5, 3, 18, -35, 2, 0, 2, -1]
[-11, 0, 8, 11, 9, 5, 3, 4]
[49, 5, 20, 16, 10, 6, 1, 1]
[-16, -5, 9, 1, -8, -14, -6, -9]
[-5, 2, 13, -8, 1, 3, -1, 1]
[-9, 0, -3, -13, 2, -3, -1, 0]
[-8, -1, 10, 36, 1, 2, 2, 3]
[8, -1, -2, -23, -4, -2, 0, -4]
[-11, 0, 9, 24, 4, -1, 6, 1]
[-7, -1, 4, -3, 4, 0, -14, -1]
[1, -5, -1, 3, 0, 6, 0, -1]
[0, 0, -2, -3, 6, 0, -21, -3]
[0, -1, -2, -3, -1, -4, -13, 1]
[-5, -1, -3, 10, -3, 2, 21, 1]
[6, 1, 6, 10, 1, 0, -3, -2]
[-31, -3, -6, 3, -1, -1, 0, -10]
[0, -2, -2, 5, -2, -1, -2, -1]
[30, -1, 0, 4, -2, -7, 2, -2]
[-3, 1, -3, -10, -2, 5, -3, -11]
[4, -3, 0, -4, -1, 1, 18, 4]
[0, -1, -2, 1, 4, -6, -9, -5]
[-25, -2, -6, 1, 2, 6, 1, -2]
[-4, 2, 6, -4, 0, 1, 0, 6]
[-6, -3, -25, -6, -2, 2, -3, 1]
[-2, -6, 25, 4, 2, 1, -2, 0]
[0, 2, 20, -10, -10, -3, 0, 0]
[-7, -7, 1, -3, -1, 0, -3, -4]
[1, 5, 1, 1, -22, 2, -2, 2]
[-1, 2, 17, -11, 7, 5, 2, 1]
[0, -2, 12, 12, -33, -10, -1, 0]
[1, 6, 3, 5, -7, -3, -2, 1]
[0, 11, -11, -21, 30, 8, 2, 2]
[1, -6, -11, 0, -16, -2, -2, 0]
[2, 0, 31, -8, -4, -5, 0, -1]
[-1, 2, 1, 13, -6, -3, -2, -1]
[2, 0, -6, 52, 2, 0, 0, 0]
[-5, -10, -76, -55, -13, -10, -2, -2]
[3, 5, 85, 80, 21, -6, 0, 0]
[-3, -4, 85, 97, 24, 26, 0, -1]
[0, 3, 26, 90, -1, 8, 4, 1]
[-9, -9, 13, -65, -43, -20, -8, -9]
[6, 1, -40, -26, 62, 24, 5, 4]
[-27, -34, -74, -70, -49, -36, -20, -17]
[11, 10, 52, 88, 21, 7, 4, 4]
[19, -2, -1, 13, 1, -12, -5, 6]
[-1, 28, 88, -33, -21, -6, 0, -3]
[3, -9, -116, -28, -19, -8, 1, 7]
[-54, -9, 6, -43, -12, -10, -8, -4]
[9, -3, 53, -24, -2, -4, 1, -4]
[11, 7, -3, -51, -21, -2, 5, 8]
[-15, -12, -54, -29, 4, 0, 0, -5]
[7, 15, -49, -63, -20, -3, 3, 0]
[12, 8, 25, -79, 34, -1, 0, 3]
[17, 7, 34, 34, -13, 8, 6, 3]
[-18, -3, -31, -57, -12, -1, -1, -7]
[-12, -10, -21, -92, -1, 0, 0, 5]
[45, 0, -54, 34, -3, -1, 1, 3]
[37, 18, 69, 79, 22, 6, 0, 0]
[3, -8, 38, 49, 6, -4, -3, -2]
[6, 8, -6, 55, -1, 12, 5, 2]
[4, -4, -50, -78, -11, -2, 0, -1]
[-15, -6, -31, -84, -1, -6, -4, -3]
[-8, -1, 30, 25, 11, 4, 2, 4]
[-33, -12, -53, 8, 3, -2, -3, -9]
[10, 7, 52, 31, 15, 1, 2, 2]
[17, 1, -22, -50, 0, -2, -2, -2]
[-16, -12, 5, 50, 1, 0, -8, -9]
[-1, 1, -10, -14, 2, 1, 7, 2]
[-8, -6, -15, 13, 2, 3, -1, 1]
